"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Kolväten, C12-20-, vätebehandlade paraffiniska, lätta destillat	'97675-86-0	'307-660-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kolväten, C11-17-, lösningsmedelsextraherade lätta nafteniska	'97722-08-2	'307-757-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Gasoljor, vätebehandlade	'97862-78-7	'308-128-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (petroleum), lätta paraffiniska, kolbehandlade	'100683-97-4	'309-667-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (petroleum), intermediära paraffiniska, kolbehandlade	'100683-98-5	'309-668-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat, (petroleum), intermediära paraffiniska, lerbehandlade	'100683-99-6	'309-669-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Alkaner, C12-26, grenade och raka	'90622-53-0	'292-454-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Smörjfetter	'74869-21-9	'278-011-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum)	'64742-61-6	'265-165-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), syrabehandlat	'90669-77-5	'292-659-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lerbehandlat	'90669-78-6	'292-660-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), vätebehandlat	'92062-09-4	'295-523-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lågsmältande	'92062-10-7	'295-524-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lågsmältande, vätebehandlat	'92062-11-8	'295-525-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lågsmältande, kolbehandlat	'97863-04-2	'308-155-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lågsmältande, lerbehandlat	'97863-05-3	'308-156-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), lågsmältande, kiselsyrabehandlat	'97863-06-4	'308-158-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Råparaffin (petroleum), kolbehandlat	'100684-49-9	'309-723-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"petrolatum	'8009-03-8	'232-373-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), oxiderad	'64743-01-7	'265-206-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), aluminiumoxidbehandlat	'85029-74-9	'285-098-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), vätebehandlat	'92045-77-7	'295-459-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), kolbehandlat	'97862-97-0	'308-149-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), kiselsyrabehandlat	'97862-98-1	'308-150-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petrolatum (petroleum), lerbehandlat	'100684-33-1	'309-706-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kondensat, naturgas-	'8006-61-9	'232-349-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta	'8030-30-6	'232-443-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Ligroin	'8032-32-4	'232-453-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung straight-run	'64741-41-9	'265-041-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), full-range straight-run	'64741-42-0	'265-042-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt straight-run	'64741-46-4	'265-046-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
" Alifatisk lätt lacknafta	'64742-89-8	'265-192-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), straight-run lätta	'68410-05-9	'270-077-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Bensin, ångåtervinnings-	'68514-15-8	'271-025-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Bensin, straight-run, toppningsanläggnings-	'68606-11-1	'271-727-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), ej sweetened	'68783-12-0	'272-186-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), fraktionering av lätt straight-run bensinstabilizertoppfraktioner	'68921-08-4	'272-931-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung streight-run, aromathaltig	'101631-20-3	'309-945-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), fullrange alkylat-	'64741-64-6	'265-066-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung alkylat-	'64741-65-7	'265-067-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt alkylat-	'64741-66-8	'265-068-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), isomeriserings-	'64741-70-4	'265-073-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lösningsmedelsraffinerad lätt	'64741-84-0	'265-086-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lösningsmedelsraffinerad tung	'64741-92-0	'265-095-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Raffinat (petroleum), katalytisk reformer etylenglykol-vatten-motströmsextrakt	'68410-71-9	'270-088-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"raffinat (petroleum), reformer Lurgi-enhetsseparerat	'68425-35-4	'270-349-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), fullrange alkylat, butanhaltig	'68527-27-5	'271-267-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), nafta, ångkrackningsutvunna, lösningsmedelsraffinerade lätta vätebehandlade	'91995-53-8	'295-315-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), C4-12-, butanalkylat, isooktanrik	'92045-49-3	'295-430-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, vätebehandlade lätta naftadestillat, lösningsmedelsraffinerade	'92045-55-1	'295-436-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), isomerisering, C6-fraktion	'92045-58-4	'295-440-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C6-7-, naftakrackning, lösningsmedelsraffinerade	'92045-64-2	'295-446-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C6-rika, vätebehandlade lätta naftadestillat, lösningsmedelsraffinerade	'101316-67-0	'309-871-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung katalytiskt krackad	'64741-54-4	'265-055-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt katalytiskt krackad	'64741-55-5	'265-056-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C3-11-, katalytisk kracker-destillat	'68476-46-0	'270-686-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), katalytiskt krackad lätt destillerad	'68783-09-5	'272-185-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), nafta, ångkrackningsutvunna, vätebehandlade lätta aromatiska	'91995-50-5	'295-311-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung katalytiskt krackad, sweetened	'92045-50-6	'295-431-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt katalytiskt krackad, sweetened	'92045-59-5	'295-441-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C8-12-, katalytisk krackning, kemiskt neutraliserade	'92128-94-4	'295-794-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C8-12-, katalytisk krackning, destillat	'101794-97-2	'309-974-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C8-12-, katalytisk krackning, kemiskt neutraliserade, avsvavlade	'101896-28-0	'309-987-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt katalytiskt reformerad	'64741-63-5	'265-065-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung katalytsikt reformerad	'64741-68-0	'265-070-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), katalytiskt reformerade pentanavdrivar-	'68475-79-6	'270-660-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C2-6-, C6-8-katalytisk reformer-	'68476-47-1	'270-687-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Återstoder (petroleum), C6-8-katalytisk reformer-	'68478-15-9	'270-794-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt katalytiskt reformerad, aromatfri	'68513-03-1	'270-993-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), katalytiskt reformerad straight-run nafta, toppfraktioner	'68513-63-3	'271-008-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Petroleumprodukter, hydrofiner-powerformer-reformat	'68514-79-4	'271-058-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), full-range reformerad	'68919-37-9	'272-895-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), katalytiskt reformerad	'68955-35-1	'273-271-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), katalytiskt reformerade vätebehandlade lätta, C8-12-aromatfraktion	'85116-58-1	'285-509-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Aromatiska kolväten, C8-, från katalytisk reformering	'91995-18-5	'295-279-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Aromatiska kolväten C7-12, C8-rika	'93571-75-6	'297-401-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Bensin, C5-11-, högoktanig stabiliserad reformerad	'93572-29-3	'297-458-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C7-12-, C>9-aromatrika, reformering, tung fraktion	'93572-35-1	'297-465-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C5-11-, icke aromatrika, reformering, lätt fraktion	'93572-36-2	'297-466-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Footsoil (petroleum), kiselsyrabehandlad	'97862-77-6	'308-127-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Nafta (petroleum), lätt termiskt krackad	'64741-74-8	'265-075-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung termiskt krackad	'64741-83-9	'265-085-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), tunga aromatiska	'67891-79-6	'267-563-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), lätta aromatiska	'67891-80-9	'267-565-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), vätebehandlad tung nafta, isohexanavdrivartoppfraktioner	'68410-98-0	'270-094-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Solventnafta (petroleum), lätt aromatisk, vätebehandlad	'68512-78-7	'270-988-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), väteavsvavlad termiskt krackad lätt	'85116-60-5	'285-511-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), vätebehandlad lätt, cykloalkanhaltig	'85116-61-6	'285-512-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung ångkrackad, hydrerad	'92045-51-7	'295-432-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), väteavsvavlad full-range	'92045-52-8	'295-433-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), vätebehandlad lätt ångkrackad	'92045-57-3	'295-438-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C4-12, naftakrackning, vätebehandlade	'92045-61-9	'295-443-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Solventnafta (petroleum), vätebehandlad lätt naftenisk	'92062-15-2	'295-529-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt ångkrackad, hydrerad	'93165-55-0	'296-942-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C6-11, vätebehandlade, avaromatiserade	'93763-33-8	'297-852-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväten, C9-12, vätebehandlade, avaromatiserade	'93763-34-9	'297-853-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Mineralterpentin	'8052-41-3	'232-489-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 Hög kronisk giftighet				
"Naturgaskondensat (petroleum)	'64741-47-5	'265-047-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Naturgas (petroleum), rå vätskeblandning	'64741-48-6	'265-048-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"nafta (petroleum), lätt hydrokrackad	'64741-69-1	'265-071-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), tung hydrokrackad	'64741-78-2	'265-079-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), sweetened	'64741-87-3	'265-089-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), syrabehandlad	'64742-15-0	'265-115-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), kemiskt neutraliserad tung	'64742-22-9	'265-122-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), kemiskt neutraliserad	'64742-23-0	'265-123-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), katalytiskt avvaxad	'64742-66-1	'265-170-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt ångkrackad	'64742-83-2	'265-187-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Aromatisk lacknafta, medeltung	'64742-95-6	'265-199-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Aromatiska kolväten, C6-10, syrabehandlade, neutraliserade	'68131-49-7	'268-618-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), C3-5, 2-metyl-2-butenrika	'68477-34-9	'270-725-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), polymeriserade ångkrackade petroleumdestillat, C5-12-fraktion	'68477-50-9	'270-735-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), ångkrackade, C5-12-fraktion	'68477-53-2	'270-736-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), ångkrackade, C5-10-fraktion, blandade med lätt ångkrackad petroleumnafta-C5-fraktion	'68477-55-4	'270-738-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extrakt (petroleum), kall syra-, C4-6	'68477-61-2	'270-741-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), pentanavdrivartoppfraktioner	'68477-89-4	'270-771-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Återstoder (petroleum), butanseparationstornsbottenfraktioner	'68478-12-6	'270-791-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Återstoder (petroleum), isobutanavdrivartorn	'68478-16-0	'270-795-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), full-range coker-	'68513-02-0	'270-991-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), ångkrackad medeltung aromatisk	'68516-20-1	'271-138-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lerbehandlad full-range straight-run	'68527-21-9	'271-262-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lerbehandlad lätt straight-run	'68527-22-0	'271-263-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt ångkrackad aromatisk	'68527-23-1	'271-264-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt ångkrackad, befriad från benzen	'68527-26-4	'271-266-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), aromathaltig	'68603-08-7	'271-635-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Bensin, pyrolys-, butanavdrivarbottenfraktioner	'68606-10-0	'271-726-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (petroleum), lätt, sweetened	'68783-66-4	'272-206-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Naturgaskondensat	'68919-39-1	'272-896-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (petroleum), naftaunifiner-stripper-	'68921-09-5	'272-932-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
